X,Y,Catchment,Total Powe,Transmissi,Transmis_1,Turbine Di,Transmis_2,Full Suppl,Powerhouse,Dam Type,Reservoir,Estimated,Total Leng,Reservoi_1,Reservoi_2,Reservoi_3,Run-of-Riv,Township,Myanmar Se,% use MYA,Export (MW,Height (m),Qmin/ MAF,Crest Leng,Distance a,Plant Fact,Installed,Financiers,GIS Rainfa,Max reserv,Unit Flow,District,Mean annua,Developers,Sub-Basin,Status (la,State/Regi,Basin,Annual Run,Catchmen_1,Sub-Basi_1,Mean ann_1,Installe_1,Total stor,Notes,River,Function,Country,Location_L,Location_1,Status,Project Na,COD Year,Project ID,icon_url
97.287,19.648,,"46","5","132",1.60000,Baluchaung 2,"867",Above ground,CG,0.00000,,0.20000,"2","0","1",RoR,Loikaw,"28",1.000000000000000,0,"11",0.810000000000000,,10.30000,"0.82","28",Sole Investment,"1493",0.00000,4.600000000000000,Loikaw,36.500000000000000,MoEE,Baluchaung,Built,Kayah,Thanlwin,1151.00000,"7872",Nam Pawn,"200","28","2",http://globalenergyobservatory.org/geoid/41487,Baluchaung,HP,Myanmar,97.287000000000006,19.648000000000000,Complete,Baluchaung 1,"1992",DAM0001,./0.png
97.358,19.557,,"48","0","230",1.60000,Taungoo and Shwemyo,"787",Above ground,Weir,0.00000,,0.00000,"0","0","0",RoR,Loikaw,"168",1.000000000000000,0,"-",0.790000000000000,,7.10000,"0.81","168",Sole Investment,"1493",0.00000,4.800000000000000,Loikaw,38.000000000000000,MoEE,Baluchaung,Built,Kayah,Thanlwin,1198.00000,"7910",Nam Pawn,"1190","168","-","This is definitely Baluchaung II. The sequence is, however, confusing, and there would appear to be four dams here, not just three.",Baluchaung,HP,Myanmar,97.358000000000004,19.556999999999999,Complete,Baluchaung 2,"1974",DAM0002,./0.png
97.397,19.546,,"51","5","132",1.70000,Baluchaung 3,"339",Above ground,Intake,0.00000,,0.00000,"0","0","0",RoR,Loikaw,"52",1.000000000000000,0,"-",0.750000000000000,,5.10000,"0.73","52",Local BOT,"1493",,5.000000000000000,Loikaw,40.200000000000003,Future Energy,Baluchaung,Built,Kayah,Thanlwin,1268.00000,"8042",Nam Pawn,"334","52","-","Not sure if this is a dam - may just be infrastructure. But assuming the sequence runs from Baluchaung 1 through 3, from north to south; and we know Baluchaung 2 is correct, then this is the only structure that can be Baluchaung 3.",Baluchaung,HP,Myanmar,97.397000000000006,19.545999999999999,Complete,Baluchaung 3,"2014",DAM0003,./0.png
96.781918,20.484592,1925.00000,"16","32","66",3.30000,Kalaw,"1140",Above ground,,9.70000,,,,,,,Pin Laung,"30",1.000000000000000,0,"35",0.430000000000000,,3.00000,"0.34","30",Local BOT,"1493",,31.100000000000001,Taunggyi,11.100000000000000,NeoEnergy Oasis,Baluchaung,Construction,Shan,Thanlwin,349.00000,"356",Nam Pawn,"90","30",,https://cdm.unfccc.int/filestorage/M/A/B/MABJRWF82L1DGKX4QCNOVSEH673ZP0/PDD_UB-2_ver1_131031.pdf?t=VGh8bzMxbDF5fDBh34XFFoXWAt3fwfAVE7xS,Baluchaung,HP,Myanmar,96.781918000000005,20.484591999999999,UC,Baluchaung (upper),"2019",DAM0004,./0.png
96.848496,18.255561,,,,,,,,,Rockfill,19.40000,"700",,"278","557","339",S,Kyauk Gyi,"160",1.000000000000000,0,"80",0.090000000000000,,0.00000,"0.36","160",Local BOT,"2806",,36.500000000000000,Taungoo,9.500000000000000,Thoolei,Bawgata,LocMoU,Bago,Sittaung,300.00000,"260",Bawgata,"500","160","835",,Bawgata,HP,Myanmar,96.848495999999997,18.255561000000000,Proposed,Bawgata,"2020",DAM0005,./0.png
97.243546,17.519723,3700.00000,,"61","230",,Thaton,,,,310.00000,"1100",,"9491","220","578",S,Bilin,"280",1.000000000000000,0,"131",0.050000000000000,,0.00000,"-","280",Local BOT,"3138",,84.400000000000006,Thaton,190.000000000000000,HCDG,Bilin,LocMoU,Mon,Bilin,5992.00000,"2250",Bilin,,"280","9711",,Bilin River,HP,Myanmar,97.243545999999995,17.519722999999999,Proposed,Belin,"2021",DAM0006,./0.png
94.0818,20.76609,,,,,,,,,,76.20000,"600",,"119","602","17",S,Setotaya,"150",1.000000000000000,0,"138",0.090000000000000,,0.00000,"0.41","150",Sole Investment,"1694",,34.299999999999997,Minbu,79.000000000000000,MOALI,Mone Chaung,GOM Plan,Magway,Ayeyarwady,2491.00000,"2305",Mone Chaung,"534","150","721",,Mon Chaung,MP,Myanmar,94.081800000000001,20.766089999999998,Proposed,Buywa (upper),"2019",DAM0007,./0.png
94.150833,20.658056,,,,,,,,,,38.10000,,,"139","70","0","-",Setotaya,"42",1.000000000000000,0,"46",,,0.00000,"-","42",Sole Investment,"1694",,,Minbu,,MOALI,Mone Chaung,Construction,Magway,Ayeyarwady,0.00000,"3108",Mone Chaung,,"42","209",,Mon Chaung,MP,Myanmar,94.150833000000006,20.658055999999998,UC,Buywa,"2018",DAM0008,./0.png
98.12572,25.8905,,"2762",,,5.70000,,"400",Underground,CFRD,27.70000,"10700",62.00000,"380","1530","2",RoR,Chipwi,"340",0.500000000000000,1700,"203",0.220000000000000,,0.00000,"0.61","3400",Foreign JV/BOT,"1540",,101.700000000000003,Myitkyina,2210.000000000000000,CPI,Nmae Hka,JVA,Kachin,Ayeyarwady,69695.00000,"21734",Ayeyarwady Headwaters,"18200","3400","1910",,N'Mai  Hka,HP,PRC,98.125720000000001,25.890499999999999,Proposed,Chipwi,"2020",DAM0009,./0.png
98.184039,25.806073,,"26","98","132",5.60000,Waingmaw,"740",Above ground,CG,0.10000,,0.70000,"0","1","0",RoR,Chipwi,"20",0.200000000000000,79,"48",0.120000000000000,,16.70000,"0.69","99",Foreign JV/BOT,"1540",,72.599999999999994,Myitkyina,40.100000000000001,SPIC,Nmae Hka,Built,Kachin,Ayeyarwady,1265.00000,"552",Ayeyarwady Headwaters,"599","99","1",,Chipwi Hka,HP,PRC,98.184038999999999,25.806073000000001,Complete,Chipwi Nge,"2013",DAM0010,./0.png
